id,term,category,description
0,34% Attack,Security and Attacks,"A 34% attack occurs when an entity controls more than 34% of a blockchain’s network power or stake, potentially manipulating consensus mechanisms, especially in Proof-of-Stake networks. This level of control can disrupt the network, validate fraudulent transactions, or halt consensus, compromising the integrity of the blockchain."
1,51% Attack,Security and Attacks,"A 51% attack occurs when an entity controls more than 50% of a blockchain network’s mining power, allowing them to alter the blockchain’s history, double-spend coins, or disrupt network operations, compromising the network's integrity."
2,Aave,Decentralized Finance (DeFi) and Protocols,"Aave is a decentralized lending protocol that allows users to borrow and lend a variety of cryptocurrencies. It offers features like flash loans, which are short-term, uncollateralized loans, and provides a platform for earning interest on deposited assets through smart contracts."
3,Aavegotchi,Decentralized Finance (DeFi) and Protocols,"Aavegotchi is a blockchain-based game that combines DeFi and NFTs, where users collect, trade, and manage digital avatars called Aavegotchis. These avatars are backed by staked crypto assets and have customizable traits. Users earn rewards through yield farming and participating in the Aavegotchi metaverse, blending gaming with decentralized finance."
4,Airdrop,Miscellaneous and Emerging Technologies,"An airdrop is a distribution strategy where free tokens or cryptocurrencies are sent to users, typically to promote a new project or reward existing holders. Recipients may receive tokens based on specific criteria, such as holding a certain asset or completing certain actions."
5,Akash Network,Miscellaneous and Emerging Technologies,"Akash Network is a decentralized cloud computing platform that allows users to rent out underutilized server capacity. It aims to provide an open, cheaper alternative to traditional cloud providers like AWS. The AKT token powers the network, enabling payments for computing resources and participation in governance."
6,Algorand (ALGO),Cryptocurrencies and Tokens,"Algorand is a scalable, high-performance blockchain that uses a Pure Proof of Stake (PPoS) consensus mechanism, ensuring decentralization and security. ALGO is the native cryptocurrency, used for transaction fees, staking, and network participation. Algorand focuses on speed, low-cost transactions, and providing infrastructure for decentralized applications and finance (DeFi)."
7,Algorand Smart Contracts (ASC1),Smart Contracts and Protocols,"Algorand Smart Contracts (ASC1) are lightweight, highly scalable contracts that run directly on the Algorand blockchain. These contracts are designed to execute quickly and at low cost, making Algorand a preferred platform for decentralized applications (dApps), financial transactions, and DeFi solutions. ASC1 contracts are written in the TEAL language."
8,Alpha Homora,Decentralized Finance (DeFi) and Protocols,"Alpha Homora is a DeFi platform that focuses on leveraged yield farming and staking. Users can take on leveraged positions in liquidity pools to maximize returns. The platform also provides lending services and integrates with other DeFi protocols, enhancing the potential for higher yields and leveraging across the ecosystem."
9,Altcoin,Cryptocurrencies and Tokens,"Altcoins are alternative cryptocurrencies to Bitcoin. These digital assets are designed to address specific limitations of Bitcoin, such as scalability or privacy. Examples include Ethereum, Litecoin, and Cardano. Altcoins often serve different functions, like smart contracts, faster transactions, or improved consensus mechanisms, and offer various use cases in the crypto ecosystem."
